,SØK PÅ ADRESSE: tast ctrl + F,,,28.09 DENNE LISTEN BLIR OPPDATERT! GJELDER LERKENDAL BYDEL! Her er et kart du kan se hvordan byen er inndelt :  https://kart.trondheim.kommune.no/map/helse_oms/#10/63.3610/10.5386/topo_graa-helsestasjonsone-bydel,
gatenr,Gatenavn,husnr,bokstav,Helsestasjonstilhørighet,"Alle husnummer tilknyttet
 samme helsestasjon?"
1123,Bergtunvegen,,,Blussuvoll,ja
1124,Bernhard Getz' gate,,,Falkenborg,ja
1126,Bernt Lies veg,,,Byåsen,ja
1127,Bersvendveita,,,Sentrum,ja
9252,Betzy Rosenbergs veg,,,Saupstad,ja
1129,Birkebeinervegen,,,Nidarvoll,ja
8707,Biskop Darres gate,,,Falkenborg,ja
8708,Biskop Grimkjells gate,,,Falkenborg,ja
8709,Biskop Sigurds gate,,,Falkenborg,ja
1134,Biskop Skaars gate,,,Blussuvoll,ja
1139,Bispegata,,,Sentrum,ja
1141,Bissmiet,,,Saupstad,ja
1142,Bjarne Ness' veg,,,Nidarvoll,ja
1143,Bjøra,,,Saupstad,ja
1144,Bjørkhaugvegen,,,Blussuvoll,ja
1411,Bjørklivegen,,,Klæbu,ja
1146,Bjørkvegen,,,Falkenborg,ja
8711,Bjørn Stallares gate,,,Falkenborg,ja
9222,Bjørnahaugvegen,,,Saupstad,ja
1147,Bjørndalen,17,,Romolslia,nei
1147,Bjørndalen,2,,Romolslia,nei
1147,Bjørndalen,3,,Sentrum,nei
1147,Bjørndalen,59,,Saupstad,nei
1147,Bjørndalen,61,,Saupstad,nei
1147,Bjørndalen,63,,Saupstad,nei
1147,Bjørndalen,65,,Saupstad,nei
1147,Bjørndalen,67,,Saupstad,nei
1147,Bjørndalen,69,,Saupstad,nei
1147,Bjørndalen,71,,Saupstad,nei
1147,Bjørndalen,73,,Saupstad,nei
1147,Bjørndalen,75,,Saupstad,nei
1147,Bjørndalen,77,,Saupstad,nei
1147,Bjørndalen,77,A,Saupstad,nei
1147,Bjørndalen,79,,Saupstad,nei
1147,Bjørndalen,80,,Saupstad,nei
1147,Bjørndalen,81,,Saupstad,nei
1147,Bjørndalen,82,,Saupstad,nei
1147,Bjørndalen,83,,Saupstad,nei
1149,Bjørnebyvegen,,,Byåsen,ja
1434,Bjørnemosevegen,,,Klæbu,ja
1151,Bjørnsons gate,,,Falkenborg,ja
8712,Blaklieggen,,,Nidarvoll,ja
8713,Blaklihøgda,,,Nidarvoll,ja
1157,Blaklivegen,,,Nidarvoll,ja
8716,Blisterhaugvegen,,,Saupstad,ja
1159,Blusuvoll alle,,,Blussuvoll,ja
1163,Blusuvollsbakken,1,,Sentrum,nei
1163,Blusuvollsbakken,10,,Sentrum,nei
1163,Blusuvollsbakken,11,,Sentrum,nei
1163,Blusuvollsbakken,12,,Sentrum,nei
1163,Blusuvollsbakken,13,,Sentrum,nei
1163,Blusuvollsbakken,14,,Sentrum,nei
1163,Blusuvollsbakken,15,,Sentrum,nei
1163,Blusuvollsbakken,16,,Sentrum,nei
1163,Blusuvollsbakken,17,,Sentrum,nei
1163,Blusuvollsbakken,2,,Sentrum,nei
1163,Blusuvollsbakken,20,,Blussuvoll,nei
1163,Blusuvollsbakken,3,,Sentrum,nei
1163,Blusuvollsbakken,4,,Sentrum,nei
1163,Blusuvollsbakken,5,,Sentrum,nei
1163,Blusuvollsbakken,6,A,Sentrum,nei
1163,Blusuvollsbakken,6,B,Sentrum,nei
1163,Blusuvollsbakken,7,,Sentrum,nei
1163,Blusuvollsbakken,8,,Sentrum,nei
1163,Blusuvollsbakken,9,,Sentrum,nei
1164,Blåklokkevegen,10,,Nidarvoll,nei
1164,Blåklokkevegen,11,,Nidarvoll,nei
1164,Blåklokkevegen,12,,Nidarvoll,nei
1164,Blåklokkevegen,13,,Nidarvoll,nei
1164,Blåklokkevegen,14,,Nidarvoll,nei
1164,Blåklokkevegen,15,,Nidarvoll,nei
1164,Blåklokkevegen,16,,Nidarvoll,nei
1164,Blåklokkevegen,17,,Nidarvoll,nei
1164,Blåklokkevegen,18,,Nidarvoll,nei
1164,Blåklokkevegen,18,B,Nidarvoll,nei
1164,Blåklokkevegen,19,,Nidarvoll,nei
1164,Blåklokkevegen,2,,Nidarvoll,nei
1164,Blåklokkevegen,21,,Nidarvoll,nei
1164,Blåklokkevegen,23,,Nidarvoll,nei
1164,Blåklokkevegen,24,,Nidarvoll,nei
1164,Blåklokkevegen,25,,Nidarvoll,nei
1164,Blåklokkevegen,26,,Nidarvoll,nei
1164,Blåklokkevegen,26,A,Nidarvoll,nei
1164,Blåklokkevegen,26,B,Nidarvoll,nei
1164,Blåklokkevegen,27,A,Nidarvoll,nei
1164,Blåklokkevegen,27,B,Nidarvoll,nei
1164,Blåklokkevegen,27,C,Nidarvoll,nei
1164,Blåklokkevegen,27,D,Nidarvoll,nei
1164,Blåklokkevegen,28,A,Nidarvoll,nei
1164,Blåklokkevegen,28,B,Nidarvoll,nei
1164,Blåklokkevegen,28,C,Nidarvoll,nei
1164,Blåklokkevegen,28,D,Nidarvoll,nei
1164,Blåklokkevegen,29,A,Nidarvoll,nei
1164,Blåklokkevegen,29,B,Nidarvoll,nei
1164,Blåklokkevegen,29,C,Nidarvoll,nei
1164,Blåklokkevegen,29,D,Nidarvoll,nei
1164,Blåklokkevegen,31,,Nidarvoll,nei
1164,Blåklokkevegen,31,A,Nidarvoll,nei
1164,Blåklokkevegen,32,,Nidarvoll,nei
1164,Blåklokkevegen,33,,Nidarvoll,nei
1164,Blåklokkevegen,33,B,Nidarvoll,nei
1164,Blåklokkevegen,34,,Nidarvoll,nei
1164,Blåklokkevegen,35,A,Nidarvoll,nei
1164,Blåklokkevegen,35,B,Nidarvoll,nei
1164,Blåklokkevegen,35,C,Nidarvoll,nei
1164,Blåklokkevegen,36,,Nidarvoll,nei
1164,Blåklokkevegen,37,,Nidarvoll,nei
1164,Blåklokkevegen,37,B,Nidarvoll,nei
1164,Blåklokkevegen,37,C,Nidarvoll,nei
1164,Blåklokkevegen,38,,Nidarvoll,nei
1164,Blåklokkevegen,39,,Nidarvoll,nei
1164,Blåklokkevegen,39,B,Nidarvoll,nei
1164,Blåklokkevegen,4,,Nidarvoll,nei
1164,Blåklokkevegen,40,,Nidarvoll,nei
1164,Blåklokkevegen,41,A,Nidarvoll,nei
