,SØK PÅ ADRESSE: tast ctrl + F,,,28.09 DENNE LISTEN BLIR OPPDATERT! GJELDER LERKENDAL BYDEL! Her er et kart du kan se hvordan byen er inndelt :  https://kart.trondheim.kommune.no/map/helse_oms/#10/63.3610/10.5386/topo_graa-helsestasjonsone-bydel,
gatenr,Gatenavn,husnr,bokstav,Helsestasjonstilhørighet,"Alle husnummer tilknyttet
 samme helsestasjon?"
3530,Jonsvannsveien,957,,Falkenborg,nei
3530,Jonsvannsveien,969,,Falkenborg,nei
3530,Jonsvannsveien,971,,Falkenborg,nei
3530,Jonsvannsveien,980,,Falkenborg,nei
3530,Jonsvannsveien,982,,Falkenborg,nei
3530,Jonsvannsveien,984,,Falkenborg,nei
3530,Jonsvannsveien,986,,Falkenborg,nei
3530,Jonsvannsveien,99,A,Blussuvoll,nei
3530,Jonsvannsveien,99,B,Blussuvoll,nei
3530,Jonsvannsveien,99,C,Blussuvoll,nei
3530,Jonsvannsveien,995,,Falkenborg,nei
3530,Jonsvannsveien,997,,Falkenborg,nei
3530,Jonsvannsveien,999,,Falkenborg,nei
9405,Josefinesvingen,,,Byåsen,ja
3550,Jotunvegen,,,Nidarvoll,ja
1448,Jovatnet,,,Klæbu,ja
9397,Julianus Holms veg,,,Falkenborg,ja
3560,Jupitervegen,,,Nidarvoll,ja
3580,Jørgen B. Lysholms vei,,,Falkenborg,ja
3570,Jørgen Bjelkes gate,,,Sentrum,ja
3575,Jørgen Hegstads veg,,,Saupstad,ja
3590,Jørgen Moes gate,,,Blussuvoll,ja
8785,Jørgenstrøa,,,Klæbu,ja
1198,Jørgenvegen,,,Klæbu,ja
3600,Jørunds gate,,,Sentrum,ja
3965,K.O. Thornæs' veg,,,Nidarvoll,ja
4142,Kaare Tønnes veg,,,Falkenborg,ja
3610,Kalvskinnsgata,,,Sentrum,ja
3612,Kammen,,,Saupstad,ja
3615,Kannikestrete,,,Sentrum,ja
3620,Kaptein Kaalds vei,,,Falkenborg,ja
3630,Kaptein Mitlids veg,,,Byåsen,ja
3640,Kaptein Roosens vei,,,Sentrum,ja
9449,Karen Aunes veg,,,Falkenborg,ja
3650,Karen Blekkans veg,,,Nidarvoll,ja
3660,Karisvingen,,,Falkenborg,ja
3670,Karl Jonssons veg,,,Nidarvoll,ja
3675,Karolinerveien,,,Byåsen,ja
3677,Karsevegen,,,Blussuvoll,ja
3636,Kastbrekkvegen,,,Nidarvoll,ja
3679,Kattemskogen,,,Saupstad,ja
3680,Kattemsvegen,,,Saupstad,ja
9309,Kilvegen,,,Nidarvoll,ja
3687,Kinnvegen,,,Falkenborg,ja
3700,Kirkegata,,,Falkenborg,ja
3710,Kirkeringen,,,Saupstad,ja
3715,Kirkvollen,,,Blussuvoll,ja
3718,Kjersti Wæhres veg,,,Falkenborg,ja
3720,Kjøpmannsgata,,,Sentrum,ja
9208,Klefstadbakkan,,,Saupstad,ja
3725,Klefstadhaugen,,,Saupstad,ja
3726,Klefstadhaugvegen,,,Saupstad,ja
3730,Kleists gate,,,Sentrum,ja
1416,Kleiva,,,Klæbu,ja
3735,Kleivavegen,,,Blussuvoll,ja
9205,Klemetsaunvegen,,,Sentrum,ja
3736,Klettvegen,,,Saupstad,ja
3740,Klingenbergs vei,,,Falkenborg,ja
1204,Klokkarvegen,,,Klæbu,ja
8783,Klokkelyngvegen,,,Klæbu,ja
3760,Klokksteinvegen,,,Saupstad,ja
1420,Kloppstykket,,,Klæbu,ja
3765,Klosterenget,,,Sentrum,ja
3770,Klostergata,,,Sentrum,ja
3790,Klæbuveien,1,,Sentrum,nei
3790,Klæbuveien,100,,Sentrum,nei
3790,Klæbuveien,102,,Sentrum,nei
3790,Klæbuveien,104,,Sentrum,nei
3790,Klæbuveien,106,,Sentrum,nei
3790,Klæbuveien,108,,Sentrum,nei
3790,Klæbuveien,110,,Sentrum,nei
3790,Klæbuveien,111,,Sentrum,nei
3790,Klæbuveien,112,,Sentrum,nei
3790,Klæbuveien,114,,Sentrum,nei
3790,Klæbuveien,118,,Nidarvoll,nei
3790,Klæbuveien,120,,Nidarvoll,nei
3790,Klæbuveien,122,,Nidarvoll,nei
3790,Klæbuveien,124,,Nidarvoll,nei
3790,Klæbuveien,126,,Nidarvoll,nei
3790,Klæbuveien,127,A,Nidarvoll,nei
3790,Klæbuveien,127,B,Nidarvoll,nei
3790,Klæbuveien,127,C,Nidarvoll,nei
3790,Klæbuveien,127,D,Nidarvoll,nei
3790,Klæbuveien,128,,Nidarvoll,nei
3790,Klæbuveien,129,,Nidarvoll,nei
3790,Klæbuveien,130,,Nidarvoll,nei
3790,Klæbuveien,132,,Nidarvoll,nei
3790,Klæbuveien,134,,Nidarvoll,nei
3790,Klæbuveien,134,A,Nidarvoll,nei
3790,Klæbuveien,136,,Nidarvoll,nei
3790,Klæbuveien,136,A,Nidarvoll,nei
3790,Klæbuveien,136,B,Nidarvoll,nei
3790,Klæbuveien,138,,Nidarvoll,nei
3790,Klæbuveien,138,A,Nidarvoll,nei
3790,Klæbuveien,138,B,Nidarvoll,nei
3790,Klæbuveien,140,A,Nidarvoll,nei
3790,Klæbuveien,140,B,Nidarvoll,nei
3790,Klæbuveien,140,C,Nidarvoll,nei
3790,Klæbuveien,140,D,Nidarvoll,nei
3790,Klæbuveien,140,E,Nidarvoll,nei
3790,Klæbuveien,141,A,Nidarvoll,nei
3790,Klæbuveien,141,B,Nidarvoll,nei
3790,Klæbuveien,141,C,Nidarvoll,nei
3790,Klæbuveien,143,,Nidarvoll,nei
3790,Klæbuveien,145,A,Nidarvoll,nei
3790,Klæbuveien,145,B,Nidarvoll,nei
3790,Klæbuveien,145,C,Nidarvoll,nei
3790,Klæbuveien,145,D,Nidarvoll,nei
3790,Klæbuveien,145,E,Nidarvoll,nei
3790,Klæbuveien,145,F,Nidarvoll,nei
3790,Klæbuveien,146,,Nidarvoll,nei
3790,Klæbuveien,147,,Nidarvoll,nei
3790,Klæbuveien,148,,Nidarvoll,nei
3790,Klæbuveien,150,,Nidarvoll,nei
3790,Klæbuveien,153,,Nidarvoll,nei
3790,Klæbuveien,154,,Nidarvoll,nei
3790,Klæbuveien,155,A,Nidarvoll,nei
3790,Klæbuveien,155,B,Nidarvoll,nei
3790,Klæbuveien,156,,Nidarvoll,nei
3790,Klæbuveien,157,A,Nidarvoll,nei
3790,Klæbuveien,157,B,Nidarvoll,nei
3790,Klæbuveien,159,,Nidarvoll,nei
3790,Klæbuveien,160,A,Nidarvoll,nei
3790,Klæbuveien,162,,Nidarvoll,nei
3790,Klæbuveien,163,,Nidarvoll,nei
3790,Klæbuveien,165,,Nidarvoll,nei
3790,Klæbuveien,169,A,Nidarvoll,nei
3790,Klæbuveien,169,B,Nidarvoll,nei
3790,Klæbuveien,171,A,Nidarvoll,nei
3790,Klæbuveien,171,B,Nidarvoll,nei
3790,Klæbuveien,172,,Nidarvoll,nei
3790,Klæbuveien,173,,Nidarvoll,nei
3790,Klæbuveien,174,,Nidarvoll,nei
3790,Klæbuveien,175,,Nidarvoll,nei
3790,Klæbuveien,175,B,Nidarvoll,nei
3790,Klæbuveien,175,C,Nidarvoll,nei
3790,Klæbuveien,176,,Nidarvoll,nei
3790,Klæbuveien,177,,Nidarvoll,nei
3790,Klæbuveien,178,,Nidarvoll,nei
3790,Klæbuveien,179,,Nidarvoll,nei
3790,Klæbuveien,18,,Sentrum,nei
3790,Klæbuveien,180,,Nidarvoll,nei
3790,Klæbuveien,181,,Nidarvoll,nei
3790,Klæbuveien,181,A,Nidarvoll,nei
3790,Klæbuveien,182,,Nidarvoll,nei
3790,Klæbuveien,184,,Nidarvoll,nei
3790,Klæbuveien,185,,Nidarvoll,nei
3790,Klæbuveien,186,,Nidarvoll,nei
3790,Klæbuveien,187,A,Nidarvoll,nei
3790,Klæbuveien,188,,Nidarvoll,nei
3790,Klæbuveien,189,,Nidarvoll,nei
3790,Klæbuveien,189,B,Nidarvoll,nei
3790,Klæbuveien,190,,Nidarvoll,nei
3790,Klæbuveien,191,,Nidarvoll,nei
3790,Klæbuveien,191,B,Nidarvoll,nei
3790,Klæbuveien,192,,Nidarvoll,nei
3790,Klæbuveien,193,,Nidarvoll,nei
3790,Klæbuveien,194,,Nidarvoll,nei
3790,Klæbuveien,195,,Nidarvoll,nei
3790,Klæbuveien,196,A,Nidarvoll,nei
3790,Klæbuveien,196,B,Nidarvoll,nei
3790,Klæbuveien,196,C,Nidarvoll,nei
3790,Klæbuveien,197,A,Nidarvoll,nei
3790,Klæbuveien,197,B,Nidarvoll,nei
3790,Klæbuveien,197,C,Nidarvoll,nei
3790,Klæbuveien,197,D,Nidarvoll,nei
3790,Klæbuveien,197,E,Nidarvoll,nei
3790,Klæbuveien,197,F,Nidarvoll,nei
3790,Klæbuveien,197,G,Nidarvoll,nei
3790,Klæbuveien,197,H,Nidarvoll,nei
3790,Klæbuveien,198,,Nidarvoll,nei
3790,Klæbuveien,199,,Nidarvoll,nei
3790,Klæbuveien,199,A,Nidarvoll,nei
3790,Klæbuveien,20,A,Sentrum,nei
3790,Klæbuveien,20,B,Sentrum,nei
3790,Klæbuveien,201,A,Nidarvoll,nei
3790,Klæbuveien,201,B,Nidarvoll,nei
3790,Klæbuveien,201,C,Nidarvoll,nei
3790,Klæbuveien,203,A,Nidarvoll,nei
3790,Klæbuveien,203,B,Nidarvoll,nei
3790,Klæbuveien,203,C,Nidarvoll,nei
3790,Klæbuveien,205,,Nidarvoll,nei
3790,Klæbuveien,209,,Nidarvoll,nei
3790,Klæbuveien,211,,Nidarvoll,nei
3790,Klæbuveien,211,A,Nidarvoll,nei
3790,Klæbuveien,211,B,Nidarvoll,nei
3790,Klæbuveien,212,,Nidarvoll,nei
3790,Klæbuveien,214,,Nidarvoll,nei
3790,Klæbuveien,215,,Nidarvoll,nei
3790,Klæbuveien,215,B,Nidarvoll,nei
3790,Klæbuveien,217,,Nidarvoll,nei
3790,Klæbuveien,217,C,Nidarvoll,nei
3790,Klæbuveien,217,D,Nidarvoll,nei
3790,Klæbuveien,217,E,Nidarvoll,nei
3790,Klæbuveien,219,A,Nidarvoll,nei
3790,Klæbuveien,219,B,Nidarvoll,nei
3790,Klæbuveien,219,C,Nidarvoll,nei
3790,Klæbuveien,219,D,Nidarvoll,nei
3790,Klæbuveien,219,E,Nidarvoll,nei
3790,Klæbuveien,22,,Sentrum,nei
3790,Klæbuveien,221,A,Nidarvoll,nei
3790,Klæbuveien,221,B,Nidarvoll,nei
3790,Klæbuveien,221,C,Nidarvoll,nei
3790,Klæbuveien,221,D,Nidarvoll,nei
3790,Klæbuveien,223,,Nidarvoll,nei
3790,Klæbuveien,225,A,Nidarvoll,nei
3790,Klæbuveien,225,B,Nidarvoll,nei
3790,Klæbuveien,227,,Nidarvoll,nei
3790,Klæbuveien,227,A,Nidarvoll,nei
3790,Klæbuveien,26,,Sentrum,nei
3790,Klæbuveien,34,,Sentrum,nei
3790,Klæbuveien,36,,Sentrum,nei
3790,Klæbuveien,38,,Sentrum,nei
3790,Klæbuveien,40,A,Sentrum,nei
3790,Klæbuveien,40,B,Sentrum,nei
3790,Klæbuveien,42,,Sentrum,nei
3790,Klæbuveien,43,,Sentrum,nei
3790,Klæbuveien,44,,Sentrum,nei
3790,Klæbuveien,46,,Sentrum,nei
3790,Klæbuveien,47,,Sentrum,nei
3790,Klæbuveien,48,,Sentrum,nei
3790,Klæbuveien,49,,Sentrum,nei
3790,Klæbuveien,50,,Sentrum,nei
3790,Klæbuveien,51,,Sentrum,nei
3790,Klæbuveien,52,,Sentrum,nei
3790,Klæbuveien,53,,Sentrum,nei
3790,Klæbuveien,54,,Sentrum,nei
3790,Klæbuveien,55,,Sentrum,nei
3790,Klæbuveien,64,,Sentrum,nei
3790,Klæbuveien,65,,Sentrum,nei
3790,Klæbuveien,66,,Sentrum,nei
3790,Klæbuveien,67,,Sentrum,nei
3790,Klæbuveien,68,,Sentrum,nei
3790,Klæbuveien,69,,Sentrum,nei
3790,Klæbuveien,70,,Sentrum,nei
3790,Klæbuveien,71,,Sentrum,nei
3790,Klæbuveien,72,,Sentrum,nei
3790,Klæbuveien,73,,Sentrum,nei
3790,Klæbuveien,75,,Sentrum,nei
3790,Klæbuveien,77,,Sentrum,nei
3800,Kløvervegen,,,Blussuvoll,ja
3780,Klüwers gate,,,Sentrum,ja
3810,Knudssøns gate,,,Blussuvoll,ja
3820,Knut Glomsaas' vei,,,Falkenborg,ja
3825,Knut Hamsuns veg,,,Byåsen,ja
3830,Kobbes gate,,,Falkenborg,ja
2002,Kochhaugvegen,,,Falkenborg,ja
3840,Koefoedgeilan,,,Sentrum,ja
3841,Koieflata,,,Rosten,ja
3842,Kolbjørn Hejes vei,,,Sentrum,ja
3844,Kolstadflata,,,Saupstad,ja
3846,Kolstadtunet,,,Saupstad,ja
8232,Kolsåsbakken,,,Romolslia,ja
3848,Kolsåsen,,,Romolslia,ja
3849,Kolsåslia,,,Romolslia,ja
3850,Kometvegen,,,Nidarvoll,ja
3855,Kommandovegen,,,Falkenborg,ja
3870,Kong Inges gate,,,Blussuvoll,ja
3900,Kong Øysteins veg,1,,Falkenborg,nei
3900,Kong Øysteins veg,11,,Falkenborg,nei
3900,Kong Øysteins veg,29,,Falkenborg,nei
3900,Kong Øysteins veg,3,,Falkenborg,nei
3900,Kong Øysteins veg,31,,Falkenborg,nei
3900,Kong Øysteins veg,4,,Falkenborg,nei
3900,Kong Øysteins veg,43,,Blussuvoll,nei
3900,Kong Øysteins veg,5,,Falkenborg,nei
3900,Kong Øysteins veg,7,,Falkenborg,nei
3900,Kong Øysteins veg,9,,Falkenborg,nei
3860,Kongens gate,,,Sentrum,ja
3880,Konglevegen,,,Falkenborg,ja
3885,Kongsgårdsgata,,,Sentrum,ja
3890,Kongsvegen,100,,Saupstad,nei
3890,Kongsvegen,130,,Saupstad,nei
3890,Kongsvegen,132,,Saupstad,nei
3890,Kongsvegen,201,,Romolslia,nei
3890,Kongsvegen,203,,Romolslia,nei
3890,Kongsvegen,204,,Romolslia,nei
3890,Kongsvegen,205,,Romolslia,nei
3890,Kongsvegen,207,,Romolslia,nei
3890,Kongsvegen,209,,Romolslia,nei
3890,Kongsvegen,211,,Romolslia,nei
3890,Kongsvegen,213,,Romolslia,nei
3890,Kongsvegen,214,,Romolslia,nei
3890,Kongsvegen,24,,Saupstad,nei
3890,Kongsvegen,26,A,Saupstad,nei
3890,Kongsvegen,26,B,Saupstad,nei
3890,Kongsvegen,26,C,Saupstad,nei
3890,Kongsvegen,27,,Saupstad,nei
3890,Kongsvegen,28,A,Saupstad,nei
3890,Kongsvegen,28,B,Saupstad,nei
3890,Kongsvegen,28,C,Saupstad,nei
3890,Kongsvegen,29,,Saupstad,nei
3890,Kongsvegen,30,,Saupstad,nei
3890,Kongsvegen,31,,Saupstad,nei
3890,Kongsvegen,32,A,Saupstad,nei
3890,Kongsvegen,32,B,Saupstad,nei
3890,Kongsvegen,32,C,Saupstad,nei
3890,Kongsvegen,33,,Saupstad,nei
3890,Kongsvegen,33,B,Saupstad,nei
3890,Kongsvegen,34,A,Saupstad,nei
3890,Kongsvegen,34,B,Saupstad,nei
3890,Kongsvegen,34,C,Saupstad,nei
3890,Kongsvegen,34,D,Saupstad,nei
3890,Kongsvegen,34,E,Saupstad,nei
3890,Kongsvegen,35,,Saupstad,nei
3890,Kongsvegen,36,,Saupstad,nei
3890,Kongsvegen,37,,Saupstad,nei
3890,Kongsvegen,38,,Saupstad,nei
3890,Kongsvegen,38,B,Saupstad,nei
3890,Kongsvegen,39,A,Saupstad,nei
3890,Kongsvegen,39,B,Saupstad,nei
3890,Kongsvegen,40,,Saupstad,nei
3890,Kongsvegen,40,B,Saupstad,nei
3890,Kongsvegen,40,C,Saupstad,nei
3890,Kongsvegen,42,,Saupstad,nei
3890,Kongsvegen,43,,Saupstad,nei
3890,Kongsvegen,45,A,Saupstad,nei
3890,Kongsvegen,45,B,Saupstad,nei
3890,Kongsvegen,47,A,Saupstad,nei
3890,Kongsvegen,47,B,Saupstad,nei
3890,Kongsvegen,47,C,Saupstad,nei
3890,Kongsvegen,49,,Saupstad,nei
3890,Kongsvegen,51,A,Saupstad,nei
3890,Kongsvegen,51,B,Saupstad,nei
3890,Kongsvegen,54,,Saupstad,nei
3890,Kongsvegen,56,,Saupstad,nei
3890,Kongsvegen,57,,Saupstad,nei
3890,Kongsvegen,57,B,Saupstad,nei
3890,Kongsvegen,58,,Saupstad,nei
3890,Kongsvegen,59,,Saupstad,nei
3890,Kongsvegen,60,,Saupstad,nei
3890,Kongsvegen,61,,Saupstad,nei
3890,Kongsvegen,63,A,Saupstad,nei
3890,Kongsvegen,63,B,Saupstad,nei
3890,Kongsvegen,64,,Saupstad,nei
3890,Kongsvegen,65,A,Saupstad,nei
3890,Kongsvegen,65,B,Saupstad,nei
3890,Kongsvegen,66,,Saupstad,nei
3890,Kongsvegen,67,,Saupstad,nei
3890,Kongsvegen,68,,Saupstad,nei
3890,Kongsvegen,69,,Saupstad,nei
3890,Kongsvegen,69,B,Saupstad,nei
3890,Kongsvegen,70,,Saupstad,nei
3890,Kongsvegen,71,,Saupstad,nei
3890,Kongsvegen,72,,Saupstad,nei
3890,Kongsvegen,73,A,Saupstad,nei
3890,Kongsvegen,73,B,Saupstad,nei
3890,Kongsvegen,73,C,Saupstad,nei
3890,Kongsvegen,74,,Saupstad,nei
3890,Kongsvegen,75,A,Saupstad,nei
3890,Kongsvegen,75,B,Saupstad,nei
3890,Kongsvegen,77,,Saupstad,nei
3890,Kongsvegen,79,,Saupstad,nei
3890,Kongsvegen,80,,Saupstad,nei
3890,Kongsvegen,81,,Saupstad,nei
3890,Kongsvegen,85,,Saupstad,nei
3890,Kongsvegen,87,B,Saupstad,nei
3890,Kongsvegen,89,,Saupstad,nei
3890,Kongsvegen,91,A,Saupstad,nei
3890,Kongsvegen,91,B,Saupstad,nei
3890,Kongsvegen,93,,Saupstad,nei
3890,Kongsvegen,95,,Saupstad,nei
3890,Kongsvegen,97,,Saupstad,nei
3890,Kongsvegen,99,,Saupstad,nei
9223,Kongsvikvegen,,,Saupstad,ja
3910,Konrad Dahls veg,,,Byåsen,ja
3920,Konsul Lorcks gate,,,Falkenborg,ja
3930,Konvallvegen,,,Blussuvoll,ja
3940,Kornblomstvegen,,,Nidarvoll,ja
1205,Korsen,,,Klæbu,ja
3950,Korsgata,,,Sentrum,ja
3955,Korsnebbvegen,,,Saupstad,ja
3960,Korsvik alle,,,Falkenborg,ja
3970,Krambugata,,,Sentrum,ja
3980,Krangata,,,Falkenborg,ja
3990,Kringkastingsvegen,,,Blussuvoll,ja
4000,Kringsjåvegen,,,Nidarvoll,ja
4008,Kristian Larsens veg,,,Byåsen,ja
4010,Kristiansfeld gate,,,Sentrum,ja
4020,Kristianstensbakken,1,A,Falkenborg,nei
4020,Kristianstensbakken,1,B,Falkenborg,nei
4020,Kristianstensbakken,10,A,Falkenborg,nei
4020,Kristianstensbakken,10,B,Falkenborg,nei
4020,Kristianstensbakken,11,,Falkenborg,nei
4020,Kristianstensbakken,12,A,Falkenborg,nei
4020,Kristianstensbakken,12,B,Falkenborg,nei
4020,Kristianstensbakken,13,,Falkenborg,nei
4020,Kristianstensbakken,14,,Falkenborg,nei
4020,Kristianstensbakken,14,A,Falkenborg,nei
4020,Kristianstensbakken,14,C,Falkenborg,nei
4020,Kristianstensbakken,15,,Falkenborg,nei
4020,Kristianstensbakken,16,A,Falkenborg,nei
4020,Kristianstensbakken,16,B,Falkenborg,nei
4020,Kristianstensbakken,18,,Falkenborg,nei
4020,Kristianstensbakken,18,B,Falkenborg,nei
4020,Kristianstensbakken,2,,Falkenborg,nei
4020,Kristianstensbakken,20,,Falkenborg,nei
4020,Kristianstensbakken,28,,Sentrum,nei
4020,Kristianstensbakken,3,,Falkenborg,nei
4020,Kristianstensbakken,30,,Sentrum,nei
4020,Kristianstensbakken,38,,Sentrum,nei
4020,Kristianstensbakken,4,,Falkenborg,nei
4020,Kristianstensbakken,40,,Sentrum,nei
4020,Kristianstensbakken,5,,Falkenborg,nei
4020,Kristianstensbakken,6,,Falkenborg,nei
4020,Kristianstensbakken,7,,Falkenborg,nei
4020,Kristianstensbakken,7,B,Falkenborg,nei
4020,Kristianstensbakken,8,,Falkenborg,nei
4020,Kristianstensbakken,9,,Falkenborg,nei
9413,Kristine Bonnevies veg,,,Falkenborg,ja
8771,Kristines veg,,,Klæbu,ja
4030,Kristofer Uppdals veg,,,Byåsen,ja
4050,Krogness gate,,,Sentrum,ja
4060,Krokstien,,,Nidarvoll,ja
1207,Krokvegen,,,Klæbu,ja
1446,Krokåsvegen,,,Klæbu,ja
4070,Kronprins Olavs alle,,,Sentrum,ja
4075,Kroppanmarka,,,Romolslia,ja
4077,Kroppanvegen,,,Romolslia,ja
4080,Krutthusbakken,,,Falkenborg,ja
4087,Kuskveita,,,Sentrum,ja
4105,Kvenildmyra,,,Rosten,ja
9438,Kvenildsskogen,,,Rosten,ja
8657,Kvenildstrøa,,,Rosten,ja
4090,Kvenildveien,,,Rosten,ja
4100,Kvernhusstien,,,Byåsen,ja
4110,Kvernvegen,,,Falkenborg,ja
4120,Kvilhaugvegen,,,Blussuvoll,ja
4123,Kvitsteinvegen,,,Byåsen,ja
4144,Kyavegen,,,Falkenborg,ja
4129,Kystad alle,,,Byåsen,ja
4124,Kystadbrinken,,,Byåsen,ja
4125,Kystadhaugen,,,Byåsen,ja
4130,Kystadvegen,,,Byåsen,ja
4140,Kyvannsvegen,,,Byåsen,ja
4251,L. Hofstads veg,,,Byåsen,ja
4150,Lade alle,,,Falkenborg,ja
4160,Ladebekken,,,Falkenborg,ja
4165,Ladehammerkaia,,,Falkenborg,ja
4180,Ladehammerveien,,,Falkenborg,ja
4190,Lademoens Kirkealle,,,Falkenborg,ja
4200,Ladetrøa,,,Falkenborg,ja
4210,Ladeveien,,,Falkenborg,ja
4220,Lagmann Dreyers gate,,,Falkenborg,ja
4230,Lagmann Lindboes vei,,,Byåsen,ja
4235,Landbruksvegen,,,Falkenborg,ja
4240,Landstads vei,,,Sentrum,ja
4242,Langberga,,,Saupstad,ja
4243,Langdalen,,,Romolslia,ja
1211,Langelandvegen,,,Klæbu,ja
4245,Langhaugen,,,Romolslia,ja
9294,Langlovegen,,,Saupstad,ja
4248,Langåsmyra,,,Saupstad,ja
9209,Langørjan,,,Saupstad,ja
4249,Lars Onsagers veg,,,Blussuvoll,ja
4252,Laura Hangerås' veg,,,Byåsen,ja
4250,Lauritz Jenssens gate,,,Falkenborg,ja
4255,Lauvsangervegen,,,Sentrum,ja
8777,Lauvåsbakken,,,Klæbu,ja
1212,Lauvåsvegen,,,Klæbu,ja
4260,Leangen alle,,,Falkenborg,ja
4265,Leangenvegen,,,Falkenborg,ja
4270,Leif Tronstads veg,,,Blussuvoll,ja
4280,Leikåsvegen,,,Byåsen,ja
4285,Leinbakkan,,,Saupstad,ja
9291,Leinstrandvegen,,,Saupstad,ja
4290,Leinvollen,,,Saupstad,ja
4295,Leirbruvegen,,,Byåsen,ja
4300,Leirfossvegen,,,Nidarvoll,ja
9334,Leirvegen,,,Nidarvoll,ja
9014,Leiråkervegen,,,Nidarvoll,ja
4304,Leistadgrenda,,,Falkenborg,ja
4305,Leistadvegen,,,Falkenborg,ja
4310,Leiv Eirikssons vei,,,Falkenborg,ja
4320,Leksvikgata,,,Falkenborg,ja
4350,Lerkeveien,,,Saupstad,ja
9337,Lersbakken,,,Saupstad,ja
4351,Levangergata,,,Falkenborg,ja
4352,Lianhaugen,,,Byåsen,ja
4353,Lianvegen,,,Byåsen,ja
4355,Lidarende,,,Blussuvoll,ja
4360,Lillebergvegen,,,Blussuvoll,ja
4380,Lillegårdsbakken,1,,Sentrum,nei
4380,Lillegårdsbakken,10,,Sentrum,nei
4380,Lillegårdsbakken,11,,Sentrum,nei
4380,Lillegårdsbakken,12,,Sentrum,nei
4380,Lillegårdsbakken,13,,Sentrum,nei
4380,Lillegårdsbakken,14,,Sentrum,nei
4380,Lillegårdsbakken,15,,Sentrum,nei
4380,Lillegårdsbakken,16,,Falkenborg,nei
4380,Lillegårdsbakken,17,,Sentrum,nei
4380,Lillegårdsbakken,18,,Sentrum,nei
4380,Lillegårdsbakken,18,B,Sentrum,nei
4380,Lillegårdsbakken,19,,Sentrum,nei
4380,Lillegårdsbakken,2,,Sentrum,nei
4380,Lillegårdsbakken,20,,Sentrum,nei
4380,Lillegårdsbakken,21,,Sentrum,nei
4380,Lillegårdsbakken,23,,Sentrum,nei
4380,Lillegårdsbakken,25,,Sentrum,nei
4380,Lillegårdsbakken,26,,Sentrum,nei
4380,Lillegårdsbakken,27,,Sentrum,nei
4380,Lillegårdsbakken,28,,Sentrum,nei
4380,Lillegårdsbakken,29,,Sentrum,nei
4380,Lillegårdsbakken,3,,Sentrum,nei
4380,Lillegårdsbakken,30,,Sentrum,nei
4380,Lillegårdsbakken,30,B,Sentrum,nei
4380,Lillegårdsbakken,31,A,Sentrum,nei
4380,Lillegårdsbakken,31,B,Sentrum,nei
4380,Lillegårdsbakken,32,,Sentrum,nei
4380,Lillegårdsbakken,33,,Sentrum,nei
4380,Lillegårdsbakken,34,,Sentrum,nei
4380,Lillegårdsbakken,35,A,Sentrum,nei
4380,Lillegårdsbakken,35,B,Sentrum,nei
4380,Lillegårdsbakken,36,,Sentrum,nei
4380,Lillegårdsbakken,37,,Sentrum,nei
4380,Lillegårdsbakken,38,,Sentrum,nei
4380,Lillegårdsbakken,39,,Sentrum,nei
4380,Lillegårdsbakken,4,,Sentrum,nei
4380,Lillegårdsbakken,40,,Sentrum,nei
4380,Lillegårdsbakken,41,,Sentrum,nei
4380,Lillegårdsbakken,42,,Sentrum,nei
4380,Lillegårdsbakken,43,,Sentrum,nei
4380,Lillegårdsbakken,44,,Sentrum,nei
4380,Lillegårdsbakken,45,,Sentrum,nei
4380,Lillegårdsbakken,46,,Sentrum,nei
4380,Lillegårdsbakken,5,,Sentrum,nei
4380,Lillegårdsbakken,6,,Sentrum,nei
4380,Lillegårdsbakken,7,,Sentrum,nei
4380,Lillegårdsbakken,8,,Sentrum,nei
4380,Lillegårdsbakken,9,,Sentrum,nei
9338,Lillekvamsvegen,,,Nidarvoll,ja
4390,Lilleplassveita,,,Sentrum,ja
4395,Lillerydningen,,,Byåsen,ja
4396,Lillian Byes veg,,,Nidarvoll,ja
4400,Lindemans gate,,,Sentrum,ja
4410,Lindevegen,,,Falkenborg,ja
4420,Linerlevegen,,,Sentrum,ja
4428,Litavegen,,,Byåsen,ja
1214,Litjmyrvegen,,,Klæbu,ja
1213,Ljosheimvegen,,,Klæbu,ja
4430,Loholt alle,,,Blussuvoll,ja
4440,Loholtbakken,,,Blussuvoll,ja
4450,Lokes veg,,,Nidarvoll,ja
4453,Losgata,,,Falkenborg,ja
4455,Losjevegen,,,Falkenborg,ja
4460,Lossiusvegen,,,Falkenborg,ja
4470,Louis Kvalstads veg,,,Byåsen,ja
4480,Ludvig Daaes gate,,,Falkenborg,ja
4490,Ludvig Musts veg,,,Blussuvoll,ja
4500,Lunavegen,,,Nidarvoll,ja
4510,Lundemobakken,,,Rosten,ja
4515,Lunderhaugen,,,Romolslia,ja
4517,Lundhøgda,,,Saupstad,ja
4514,Lundlia,,,Saupstad,ja
4518,Lundvegen,,,Saupstad,ja
4519,Lundåsen,,,Saupstad,ja
1215,Lunheimvegen,,,Klæbu,ja
9423,Lutelvvegen,,,Falkenborg,ja
4520,Lykkestien,,,Falkenborg,ja
4525,Lykkmarka,,,Romolslia,ja
4530,Lyngvegen,,,Saupstad,ja
4535,Lysverkvegen,,,Byåsen,ja
4771,Låvekra,,,Romolslia,ja
4521,Lægdgrinda,,,Romolslia,ja
